DEPTH,GR,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RHOB,TNPH,Vsh,Sw,Por,LogRt,LogPhiT,LogSwT
3036.4176,44.2527,350.6613,348.7407,373.5013,484.9014,603.0524,843.4418,2.1087,0.0802,0.0386,0.0578,0.2407,6.737490901,-0.61852391,-1.238072162
3036.5,85.9506,,,,,,,2.268,0.1596,0.3452,0.5887,0.2257,1.555235126,-1.488548595,-0.529838563
3036.57,43.8841,298.7473,247.4421,268.9616,363.7677,420.067,595.2357,2.1106,0.0765,0.0359,0.0692,0.238,6.388957462,-0.623423043,-1.159893906
3036.6,115.4722,,,,,,,2.346,0.1854,0.5623,0.6948,0.1748,1.576211995,-1.744112816,-0.364131245
3036.7,143.4214,,,,,,,2.4206,0.2168,0.7678,0.8426,0.1261,1.62191969,-2.070680036,-0.171262929
3036.7224,40.3188,313.1696,260.7299,300.2812,383.8672,425.5184,589.9689,2.1054,0.0732,0.0097,0.0631,0.2428,6.380069824,-0.614751318,-1.199970641
3036.8748,39.3352,275.7895,212.9296,282.5843,324.0092,346.8377,439.9435,2.0938,0.0773,0.0025,0.0959,0.2485,6.08664631,-0.604673607,-1.018181393
3037.0272,39.7106,234.5624,165.0185,230.187,233.9825,245.5575,229.4797,2.0859,0.0858,0.0052,0.0911,0.2515,5.435814572,-0.599462011,-1.040481623
3037.1796,41.3018,303.6552,308.5153,375.7813,374.3753,384.2437,466.3746,2.0724,0.0844,0.0169,0.0682,0.2562,6.144989174,-0.591420875,-1.166215625
3037.332,38.4742,334.8849,413.7445,447.7738,441.1758,441.3277,459.6201,2.0611,0.0862,0,0.0729,0.258,6.130400279,-0.588380294,-1.137272472
3037.4844,40.8101,306.6938,310.9995,314.044,306.095,302.2665,302.6997,2.0652,0.0866,0.0133,0.1019,0.2531,5.712741225,-0.596707855,-0.991825816
3037.6368,41.916,230.963,149.0745,143.2887,138.7201,133.8619,116.8548,2.1019,0.0955,0.0214,0.1548,0.235,4.760932138,-0.628932138,-0.810229044
3037.7892,52.3661,77.0176,59.8287,57.5194,53.3772,52.3295,32.8849,2.1673,0.1014,0.0983,0.4107,0.2095,3.493013586,-0.678815973,-0.386475297
3037.8,78.2807,,,,,,,2.3847,0.1686,0.2888,0.7005,0.1559,1.863801022,-1.858540503,-0.355960913
3037.9,71.8074,,,,,,,2.3382,0.1627,0.2412,0.5859,0.1849,1.967573789,-1.687940141,-0.534606152
3037.9416,56.6692,18.6602,14.7719,14.3286,13.4674,12.7985,7.4158,2.2354,0.1181,0.1299,0.5387,0.1847,2.003612859,-0.733533105,-0.268653024
3038,68.0607,,,,,,,2.2906,0.1582,0.2137,0.5067,0.208,2.076587473,-1.570217199,-0.679836167
3038.094,56.915,63.7232,53.496,52.8303,52.2357,47.2575,36.0221,2.2611,0.1142,0.1317,0.2057,0.1825,3.584132639,-0.738737131,-0.686765708
3038.1,66.3478,,,,,,,2.2467,0.1555,0.2011,0.4555,0.2242,2.170378537,-1.495216768,-0.786359562
3038.2,66.0705,,,,,,,2.272,0.1641,0.199,0.4993,0.2177,2.028385061,-1.524637311,-0.694548161
3038.2464,48.4295,269.4646,217.9735,228.9965,226.4657,217.8035,220.2944,2.2269,0.0972,0.0693,0.1057,0.1989,5.394964834,-0.701365217,-0.975925013
3038.3,69.541,,,,,,,2.3023,0.1772,0.2246,0.5274,0.2062,2.004610231,-1.578908707,-0.639796005
3038.3988,42.6279,329.9807,386.0422,415.9728,422.7074,422.7604,452.2649,2.1625,0.0845,0.0267,0.0738,0.2255,6.11426807,-0.646853454,-1.131943638
3038.4,76.2813,,,,,,,2.337,0.1943,0.2741,0.5518,0.1851,2.087496513,-1.686859059,-0.594569617
3038.5,85.1038,,,,,,,2.3662,0.2247,0.339,0.6661,0.1663,1.839263092,-1.793961893,-0.40631547
3038.5512,40.2895,329.8723,476.5971,484.7066,507.5912,519.0584,581.4692,2.1264,0.0803,0.0095,0.067,0.2344,6.365558004,-0.630042393,-1.173925197
3038.6,92.1728,,,,,,,2.3679,0.2532,0.391,0.7208,0.1644,1.664058665,-1.805452796,-0.327393573
3038.7,97.4022,,,,,,,2.3407,0.2798,0.4294,0.6777,0.1802,1.623025186,-1.713687934,-0.389050567
3038.7036,43.2346,267.0386,283.4269,331.9495,346.3512,355.8695,430.5334,2.1227,0.0807,0.0311,0.0922,0.235,6.065024905,-0.628932138,-1.035269079
3038.8,94.5925,,,,,,,2.3023,0.288,0.4088,0.6098,0.2038,1.643414128,-1.590616158,-0.494624244
3038.856,42.5759,218.6452,162.3623,211.7059,220.1118,227.9303,215.7197,2.129,0.0832,0.0263,0.1024,0.232,5.37397988,-0.634512015,-0.989700043
3038.9,91.9045,,,,,,,2.2776,0.2775,0.389,0.5696,0.2191,1.669817798,-1.518227032,-0.562820919
3039,89.7533,,,,,,,2.271,0.2442,0.3732,0.5541,0.2234,1.700721816,-1.498791392,-0.590410103
3039.0084,44.0739,303.2333,267.2599,371.4843,407.6472,430.6642,612.595,2.1204,0.086,0.0373,0.0587,0.2416,6.417704032,-0.61690307,-1.231361899
3039.1,91.0242,,,,,,,2.2642,0.2375,0.3825,0.5484,0.2274,1.688988191,-1.481044698,-0.600750331
3039.1608,41.2588,307.1715,282.7895,345.9606,430.4977,450.2663,641.5346,2.1089,0.0885,0.0166,0.0661,0.2449,6.463863119,-0.611011215,-1.179798541
3039.2,95.6381,,,,,,,2.2612,0.2328,0.4165,0.551,0.2286,1.658666076,-1.475781528,-0.59602047
3039.3,104.9505,,,,,,,2.2642,0.2273,0.4849,0.5658,0.2257,1.603802061,-1.488548595,-0.56951462
3039.3132,42.6526,285.2976,252.9101,284.0887,375.1739,394.3573,557.5353,2.0952,0.0902,0.0269,0.0647,0.2505,6.32352582,-0.60119227,-1.189095719
